[
         (1, 'MacBook Pro', 2015, '15"', '16GB', '512GB SSD'
           , 13.75, 9.48, 0.61, 4.02)
       , (2, 'MacBook', 2016, '12"', '8GB', '256GB SSD'
           , 11.04, 7.74, 0.52, 2.03)
       , (3, 'MacBook Air', 2016, '13.3"', '8GB', '128GB SSD'
           , 12.8, 8.94, 0.68, 2.96)
       , (4, 'iMac', 2017, '27"', '64GB', '1TB SSD'
           , 25.6, 8.0, 20.3, 20.8)
]

{"Id":1," Model":"MacBook Pro"," Year":2015," ScreenSize":"15\""," RAM":"16GB"," HDD":"512GB SSD"," W":13.75," D":9.48," H":0.61," Weight":4.02}
{"Id":2," Model":"MacBook"," Year":2016," ScreenSize":"12\""," RAM":"8GB"," HDD":"256GB SSD"," W":11.04," D":7.74," H":0.52," Weight":2.03}
{"Id":3," Model":"MacBook Air"," Year":2016," ScreenSize":"13.3\""," RAM":"8GB"," HDD":"128GB SSD"," W":12.8," D":8.94," H":0.68," Weight":2.96}
{"Id":4," Model":"iMac"," Year":2017," ScreenSize":"27\""," RAM":"64GB"," HDD":"1TB SSD"," W":25.6," D":8.0," H":20.3," Weight":20.8}



Id, Model, Year, ScreenSize, RAM, HDD, W, D, H, Weight
1,MacBook Pro,2015,"15\"",16GB,512GB SSD,13.75,9.48,0.61,4.02
2,MacBook,2016,"12\"",8GB,256GB SSD,11.04,7.74,0.52,2.03
3,MacBook Air,2016,"13.3\"",8GB,128GB SSD,12.8,8.94,0.68,2.96
4,iMac,2017,"27\"",64GB,1TB SSD,25.6,8.0,20.3,20.8
